city,lat,lng
dublin,53.35,-6.2603
cork,51.8972,-8.47
galway,53.2719,-9.0489
tallaght,53.2886,-6.3572
limerick,52.6653,-8.6238
lucan,53.3544,-6.4486
waterford,52.2567,-7.1292
clondalkin,53.3203,-6.3947
dún dealgan,54.0044,-6.4003
drogheda,53.715,-6.3525
swords,53.4597,-6.2181
navan,53.6528,-6.6814
blackrock,53.3015,-6.1778
ennis,52.8463,-8.9807
douglas,51.8764,-8.4358
tralee,52.2675,-9.6962
carlow,52.8306,-6.9317
dunleary,53.3,-6.14
port laoise,53.0308,-7.3008
rathfarnham,53.2988,-6.2854
baile átha luain,53.4236,-7.9425
ashtown,53.3754,-6.3326
mullingar,53.5224,-7.3378
letterkenny,54.9566,-7.7203
kilkenny,52.6477,-7.2561
greystones,53.144,-6.072
wexford,52.3342,-6.4575
naas,53.217,-6.663
celbridge,53.338,-6.5388
ballyfermot,53.3423,-6.3487
sligo,54.2667,-8.4833
ballincollig,51.8879,-8.5893
mullach íde,53.4508,-6.1544
clonmel,52.3539,-7.7116
carrigaline,51.8166,-8.3905
stillorgan,53.2888,-6.1958
terenure,53.3098,-6.2835
maigh nuad,53.3816,-6.591
leixlip,53.3643,-6.4881
baile an bhiataigh,53.7014,-6.2461
donacarney,53.7094,-6.2783
tullamore,53.2667,-7.5
killarney,52.0588,-9.5072
midleton,51.916,-8.175
arklow,52.7941,-6.1649
castlebar,53.8608,-9.2988
wicklow,52.9779,-6.033
cobh,51.851,-8.2967
enniscorthy,52.5021,-6.5659
an cabhán,53.991,-7.3601
gorey,52.677,-6.292
tramore,52.1588,-7.1463
palmerston,53.35,-6.379
athy,52.992,-6.987
longford,53.727,-7.8
rush,53.522,-6.089
na sceirí,53.5828,-6.1083
killiney,53.2651,-6.1137
ráth tó,53.506,-6.463
glanmire,51.9167,-8.4
nenagh,52.8632,-8.1995
donabate,53.487,-6.152
tuam,53.515,-8.851
shannon,52.7137,-8.8686
lusca,53.526,-6.167
kilcock,53.4004,-6.6681
new ross,52.396,-6.945
youghal,51.9517,-7.8456
monaghan,54.2478,-6.9708
ros comáin,53.6333,-8.1833
carrick on shannon,53.944,-8.095
donegal,54.654,-8.11
lifford,54.834,-7.486
trim,53.555,-6.7917
